DepartmentCode,DepartmentNumber,Title,Description,course_number,UnitsMin,UnitsMax
CS,224N,Natural Language Processing,"Methods for processing human language information and the underlying computational properties of natural languages. Syntactic and semantic processing from linguistic and algorithmic perspectives. Focus is on modern quantitative techniques in NLP: using large corpora, statistical models for acquisition, translation, and interpretation; and representative systems. Prerequisites: CS 121/221 or CS124/LINGUIST 180, CS103, CS109.",CS 224N,3,4
CS,221,Artificial Intelligence: Principles and Techniques,"(Only one of 121 or 221 counts towards any CS degree program.) Topics: search, planning, constraint satisfaction, knowledge representation, probabilistic models, machine learning, neural networks, vision, robotics, and natural language understanding. Prerequisites: 103B or X, or PHIL 160A, 106B, or 106X, and exposure to probability. Recommended: 107 and facility with basic differential calculus. (Koller, Ng)",CS 221,3,0
CS,246,Information Integration,"Accessing the recent increase in structured data available on the Internet in an integrated way is complicated by conceptual heterogeneity among the data sources, i.e., differences in their structure and vocabulary. Approaches to solving this problem. Topics: notations and models for structured data such as XML and RDF, information integration techniques, standard schemas and vocabularies, data structuring technology, and applications such as in corporate logistics, e-commerce, civil engineering, and health care. Large-scale datawebs and prospects for building a fully integrated semantic web, essentially a world wide web for databases. Prerequisites: 145, 157.Spr (Genesereth)",CS 246,3,4
CME,212,Introduction to Large-Scale Computing in Engineering,"Advanced programming methodologies for solving fundamental engineering problems using algorithms with pervasive application across disciplines. Overview of computer systems from a programming perspective including processor architectures, memory hierarchies, machine arithmetic, performance tuning techniques. Algorithms include iterative, direct linear solvers, fft, and divide and conquer strategies for n-body problems. Software development; other practical UNIX tools including shell scripting (bash), vi/emacs, gcc, make, gdb, gprof, rcs, and latex. Prerequisites: 200 (formerly ME 300A), and CS 106X or equivalent level of programming in C/C++. (Fringer)",CME 212,3,0
CME,302,Numerical Linear Algebra,"First in a three quarter graduate sequence. Solution of systems of linear equations: direct methods, error analysis, structured matrices; iterative methods and least squares. Parallel techniques. Prerequisites: CME108, MATH 103 or 113. (Golub)",CME 302,3,0
CME,308,Stochastic Methods in Engineering,"Review of basic probability; state space models and time series; parameter estimations, prediction, and filtering; Markov chains and processes; stochastic control; and stochastic differential equations. Examples from various engineering disciplines. Prerequisites: exposure to probability; background in real variables and analysis. (Glynn)",CME 308,3,0
STATS,200,Introduction to Statistical Inference,"Modern statistical concepts and procedures derived from a mathematical framework. Statistical inference, decision theory; point and interval estimation, tests of hypotheses; Neyman-Pearson theory. Bayesian analysis; maximum likelihood, large sample theory. Prerequisite: 116.Win (Romano)",STATS 200,3,0
STATS,299,Literature of Statistics,,STATS 299,3,0
STATS,203,Introduction to Regression Models and Analysis of Variance,Modeling and interpretation of observational and experimental data using linear and nonlinear regression methods. Model building and selection methods. Multivariable analysis. Fixed and random effects models. Experimental design. Pre- or corequisite: 200 (Switzer),STATS 203,3,0
STATS,315A,Modern Applied Statistics: Learning,"Two-part sequence on new techniques for predictive and descriptive learning using ideas that bridge gaps among statistics, computer science, and artificial intelligence. Emphasis is on statistical aspects of their application and integration with more standard statistical methodology. Predictive learning refers to estimating models from data with the goal of predicting future outcomes, in particular, regression and classification models. Descriptive learning is used to discover general patterns and relationships in data without a specific predictive goal. From a statistical perspective, it can be viewed as computer automated exploratory analysis of usually large complex data sets. (Hastie)",STATS 315A,3,0
STATS,390,Consulting Workshop,"Provides the skills required of practicing statistical consultants, including exposure to statistical applications. Students participate as consultants in the department's drop-in consulting service, analyze client data, and prepare formal written reports. Seminar provides supervised experience in short term consulting. May be repeated for credit. Prerequisites: course work in applied statistics or data analysis, and consent of instructor. Aut (Olshen), Win (Switzer), Spr (Walther)",STATS 390,3,0
STATS,315B,Modern Applied Statistics: Data Mining,"Three-part sequence. New techniques for predictive and descriptive learning using ideas that bridge gaps among statistics, computer science, and artificial intelligence. Emphasis is on statistical aspects of their application and integration with more standard statistical methodology. Predictive learning refers to estimating models from data with the goal of predicting future outcomes, in particular, regression and classification models. Descriptive learning is used to discover general patterns and relationships in data without a predictive goal, viewed from a statistical perspective as computer automated exploratory analysis of large complex data sets.",STATS 315B,3,0
STATS,204,Sampling,"How best to take data and where to sample it. Examples include surveys and sampling from data warehouses. Emphasis is on methods for finite populations. Topics: simple random sampling, stratified sampling, cluster sampling, ratio and regression estimators, two stage sampling.",STATS 204,3,0
CS ,230,Deep Learning,"Deep Learning is one of the most highly sought after skills in AI. We will help you become good at Deep Learning. In this course, you will learn the foundations of Deep Learning, understand how to build neural networks, and learn how to lead successful machine learning projects. You will learn about Convolutional networks, RNNs, LSTM, Adam, Dropout, BatchNorm, Xavier/He initialization, and more. You will work on case studies from healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will master not only the theory, but also see how it is applied in industry. You will practice all these ideas in Python and in TensorFlow, which we will teach. AI is transforming multiple industries. After this course, you will likely find creative ways to apply it to your work. This class is taught in the flipped-classroom format. You will watch videos and complete in-depth programming assignments and online quizzes at home, then come in to class for advanced discussions and work on projects. This class will culminate in an open-ended final project, which the teaching team will help you on. Prerequisites: Familiarity with programming in Python and Linear Algebra (matrix / vector multiplications). CS 229 may be taken concurrently.",CS 230,3,4
CS,231N,Convolutional Neural Networks for Visual Recognition,"Computer Vision has become ubiquitous in our society, with applications in search, image understanding, apps, mapping, medicine, drones, and self-driving cars. Core to many of these applications are visual recognition tasks such as image classification and object detection. Recent developments in neural network approaches have greatly advanced the performance of these state-of-the-art visual recognition systems. This course is a deep dive into details of neural-network based deep learning methods for computer vision. During this course, students will learn to implement, train and debug their own neural networks and gain a detailed understanding of cutting-edge research in computer vision. We will cover learning algorithms, neural network architectures, and practical engineering tricks for training and fine-tuning networks for visual recognition tasks. Prerequisites: Proficiency in Python; CS131 and CS229 or equivalents; MATH21 or equivalent, linear algebra.",CS 231N,3,0
CS,234,Reinforcement Learning,"To realize the dreams and impact of AI requires autonomous systems that learn to make good decisions. Reinforcement learning is one powerful paradigm for doing so, and it is relevant to an enormous range of tasks, including robotics, game playing, consumer modeling and healthcare. This class will briefly cover background on Markov decision processes and reinforcement learning, before focusing on some of the central problems, including scaling up to large domains and the exploration challenge. One key tool for tackling complex RL domains is deep learning and this class will include at least one homework on deep reinforcement learning. Prerequisites: proficiency in python, CS 229 or equivalents or permission of the instructor; linear algebra, basic probability.",CS 234,3,0
CS,236,Deep Generative Models,"Generative models are widely used in many subfields of AI and Machine Learning. Recent advances in parameterizing these models using neural networks, combined with progress in stochastic optimization methods, have enabled scalable modeling of complex, high-dimensional data including images, text, and speech. In this course, we will study the probabilistic foundations and learning algorithms for deep generative models, including Variational Autoencoders (VAE), Generative Adversarial Networks (GAN), and flow models. The course will also discuss application areas that have benefitted from deep generative models, including computer vision, speech and natural language processing, and reinforcement learning. Prerequisites: Basic knowledge about machine learning from at least one of CS 221, 228, 229 or 230. Students will work with computational and mathematical models and should have a basic knowledge of probabilities and calculus. Proficiency in some programming language, preferably Python, required",CS 236,3,4
STATS,305A,Applied Statistics I,"tatistics of real valued responses. Review of multivariate normal distribution theory. Univariate regression. Multiple regression. Constructing features from predictors. Geometry and algebra of least squares: subspaces, projections, normal equations, orthogonality, rank deficiency, Gauss-Markov. Gram-Schmidt, the QR decomposition and the SVD. Interpreting coefficients. Collinearity. Dependence and heteroscedasticity. Fits and the hat matrix. Model diagnostics. Model selection, Cp/AIC and crossvalidation, stepwise, lasso. Multiple comparisons. ANOVA, fixed and random effects. Use of bootstrap and permutations. Emphasis on problem sets involving substantive computations with data sets. Prerequisites: consent of instructor, 116, 200, applied statistics course, CS 106A, MATH 114.",STATS 305A,3,0
CME,213,"Introduction to parallel computing using MPI, openMP, and CUDA","This class will give hands-on experience with programming multicore processors, graphics processing units (GPU), and parallel computers. The focus will be on the message passing interface (MPI, parallel clusters) and the compute unified device architecture (CUDA, GPU). Topics will include multithreaded programs, GPU computing, computer cluster programming, C++ threads, OpenMP, CUDA, and MPI. Pre-requisites include C++, templates, debugging, UNIX, makefile, numerical algorithms (differential equations, linear algebra)",CME 213,3,0
CME,323,Distributed Algorithms and Optimization,"The emergence of clusters of commodity machines with parallel processing units has brought with it a slew of new algorithms and tools. Many fields such as Machine Learning and Optimization have adapted their algorithms to handle such clusters. Topics include distributed and parallel algorithms for: Optimization, Numerical Linear Algebra, Machine Learning, Graph analysis, Streaming algorithms, and other problems that are challenging to scale on a commodity cluster. The class will focus on analyzing parallel and distributed programs, with some implementation using Apache Spark and TensorFlow. Recommended prerequisites: Discrete math at the level of CS 161 and programming at the level of CS 106A.",CME 323,3,0
STATS,266,"Advanced Statistical Methods for Observational Studies	","Design principles and statistical methods for observational studies. Topics include: matching methods, sensitivity analysis, and instrumental variables. 3 unit registration requires a small project and presentation. Computing is in R. Pre-requisites: EPI 261 and 262 or STATS 209 (EPI 239), or equivalent.",STATS 266,2,3
CME,364A,Convex Optimization I,"Convex sets, functions, and optimization problems. The basics of convex analysis and theory of convex programming: optimality conditions, duality theory, theorems of alternative, and applications. Least-squares, linear and quadratic programs, semidefinite programming, and geometric programming. Numerical algorithms for smooth and equality constrained problems; interior-point methods for inequality constrained problems. Applications to signal processing, communications, control, analog and digital circuit design, computational geometry, statistics, machine learning, and mechanical engineering. Prerequisite: linear algebra such as EE263, basic probability.",CME 364A,3,0
STATS,231,Statistical Learning Theory,"Topics on fundamentals of data science, biological and statistical models, application to medical product safety evaluation, health risk models and their evaluation, benefit-risk assessment and multi-criteria decision analytics. Applications to environmental health, nutritional epidemiology, wellness and prevention will also be discussed. Prerequisite: Graduate students - STATS 202 or 216, or CS 229;",STATS 231,3,0
STATS,245,"Data, Models and Applications to Healthcare Analytics	","Topics on fundamentals of data science, biological and statistical models, application to medical product safety evaluation, health risk models and their evaluation, benefit-risk assessment and multi-criteria decision analytics. Applications to environmental health, nutritional epidemiology, wellness and prevention will also be discussed. Prerequisite: Graduate students - STATS 202 or 216, or CS 229;",STATS 245,3,0
STATS,299,Independent Study,For Statistics M.S. students only. Reading or research program under the supervision of a Statistics faculty member. ,STATS 299,3,0
ECON,271,Intermediate Econometrics II,"Linear regression model, relaxation of classical-regression assumptions, simultaneous equation models, linear time series analysis. Limited enrollment. Prerequisite: 270.",ECON 271,2,5
MS&E,327, Topics in Causal Inference,"This course introduces the fundamental ideas and methods in causal inference, and surveys a broad range of problems and applications. Emphasis will be on framing causal problems and identifying causal effects in both randomized experiments and observational studies. Topics will include: the potential outcomes framework; randomization-based inference and covariate adjustment; matching, and IPW; instrumental variables, regression discontinuity and synthetic ncontrols. Examples and applications will be taken from the fields of education, political science, economics, public health and digital marketing.",MS&E 327,3,0
CME,305,Discrete Mathematics and Algorithms,"Topics: enumeration (permutations, stirling numbers, Cayley's theorem) SDR, flows and cuts (deterministic and randomized algorithms), eigenvalues and expansion arguments, asymptotics (NP-hardness and approximation algorithms). Topics illustrated with EE, CS, and bioinformatics applications. Prerequisites: MATH 51 or 103 or equivalents. (Saberi)",CME 305,3,0
CS,229,Machine Learning,"Topics: statistical pattern recognition, linear and non-linear regression, non-parametric methods, exponential family, GLIMs, support vector machines, kernel methods, model/feature selection, learning theory, VC dimension, clustering, density estimation, EM, dimensionality reduction, ICA, PCA, reinforcement learning and adaptive control, Markov decision processes, approximate dynamic programming, and policy search. Prerequisites: linear algebra, and basic probability and statistics. (Ng)",CS 229,3,4
CS,228,Probabilistic Models in Artificial Intelligence,"Probabilistic modeling languages for representing complex domains, algorithms for reasoning and decision making using these representations, and learning these representations from data. Focus is on probabilistic graphic models, including Bayesian and Markov networks, extensions to temporal modeling such as hidden Markov models and dynamic Bayesian networks, and extensions to decision making such as influence diagrams. Topics: theoretical foundations and applications to domains including  speech recognition, biological modeling and discovery, medical diagnosis, message encoding, vision, and robot motion planning. Prerequisites: basic probability theory and algorithm design and analysis. (Koller, Elidan)",CS 228,3,4
CS,145,Introduction to Databases,"Database design and the use of database management systems for applications. The relational model and XML, including the XML query languages XPath and XQuery, and SQL, the standard language for creating, querying, and modifying relational and object-relational databases. Relational algebra, relational design principles based on functional dependencies and normal forms, and the entity-relationship and object-oriented approaches to database design. Other issues include indexes, views, transactions, authorization, integrity constraints, and triggers. Several advanced topics drawn from data warehousing, data mining, OQL, Datalog, temporal databases, middleware, or peer-to-peer systems. Prerequisites: 103B or X, 107.Aut (Ullman, Rajaraman), Spr (Widom)",CS 145,3,4
CS,161,Design and Analysis of Algorithms,"Efficient algorithms for sorting, searching, and selection. Algorithm analysis: worst and average case analysis. Recurrences and asymptotics. Data structures: balanced trees, heaps, hash tables. Algorithm design techniques: divide-and-conquer, dynamic programming, greedy algorithms, amortized analysis. Algorithms for fundamental graph problems such as depth-first search, connected components, topological sort, and shortest paths. Possible additional topics: network flow, string searching, parallel computation. Prerequisite: 103B or X; STATS 116.Aut (Plotkin), Win (Batzoglou, Guibas)",CS 161,3,5
CS,107,Programming Paradigms,"Advanced memory management features of C and C++; the differences between imperative and object-oriented paradigms. The functional paradigm (using LISP) and concurrent programming (using C and C++). Brief survey of other modern languages such as Python, Objective C, and C#. (Cain)",CS 107,3,5
CS,106A,Programming Methodology,"For students in technical disciplines. Broad introduction to the engineering of computer applications, emphasizing software engineering principles: design, decomposition, information hiding, procedural abstraction, testing, and reusable software components. Uses the programming language C or Java, and concentrates on the development of good programming style and on understanding the basic facilities provided by the language. Alternatives: 105, 106X. GER:2bAut (Plummer), Win, Spr (Parlante)",CS 106A,3,0
CS,106B,Programming Abstractions,"Abstraction and its relation to programming. The software engineering principles of data abstraction, modules, certain fundamental data structures (e.g., stacks and queues), and data-directed design. Recursion and recursive data structures (linked lists and binary trees). Brief introduction to time and space complexity analysis. Uses the programming language C++ (language subject to change). Prerequisite: 106A or consent of the instructor. GER:2bWin (Cain), Spr (Zelenski)",CS 106B,3,5
CS,109,Introduction to Computer Science,,CS 109,3,5
CS,103,Mathematical Foundations of Computing,"Mathematical foundations required for computer science, including propositional predicate logic, induction, sets, functions, and relations. Formal language theory, including regular expressions, grammars, finite automata, Turing machines, and NP-completeness. Mathematical rigor, proof techniques, and applications. May not be taken by students who have completed 103A,B or 103X. Prerequisite: 106A or equivalent.",CS 103,3,5
CS,124,From Languages to Information,"Automated processing of less structured information: human language text and speech, web pages, social networks, genome sequences, with goal of automatically extracting meaning and structure. Methods include: string algorithms, automata and transducers, hidden Markov models, graph algorithms, XML processing. Applications such as information retrieval, text classification, social network models, machine translation, genomic sequence alignment, word meaning extraction, and speech recognition. Prerequisite: CA 106B, and 103 or 103B.",CS 124,3,4
CS,103B,Discrete Structures,"Final offering of this course. Continuation of 103A. Topics: analysis of algorithms, recurrence relations, mathematical formulations of basic data models (sets, relations, linear models, trees and graphs), regular expressions, grammars, and finite automata. Corequisite: 106B or X.",CS 103B,3,0
MATH,21,Calculus,Continuation of 20. Prerequisite: 20. GER:2c Spr (Lucianovic),MATH 21,4,0
MATH,104,Applied Matrix Theory,"Linear algebra for applications in science and engineering: orthogonality, projections, the four fundamental subspaces of a matrix, spectral theory for symmetric matrices, the singular value decomposition, the QR decomposition, least-squares, the condition number of a matrix, algorithms for solving linear systems. Prerequisites: MATH 51 and MATH 52 or 53.",MATH 104,3,3
MATH,114,Linear Algebra and Matrix Theory II,Advanced topics in linear algebra such as: invariant subspaces; canonical forms of matrices; minimal polynomials and elementary divisors; vector spaces over arbitrary fields; inner products; Jordan normal forms; Hermitian and unitary matrices; multilinear algebra; and applications. Prerequisite: 51H or 113.,MATH 114,3,0
STATS,305,Introduction to Statistical Modeling,"The linear model: simple linear regression, polynomial regression, multiple regression, anova models; and with some extensions, orthogonal series regression, wavelets, radial basis functions, and MARS. Topics: normal theory inference (tests, confidence intervals, power), related distributions (<i>t</i>, chi-square, <i>F</i>), numerical methods (QR, SVD), model selection/regularization (Cp, AIC, BIC), diagnostics of model inadequacy, and remedies including bootstrap inference, and cross-validation. Emphasis is on problem sets involving substantial computations with data sets, including developing extensions of existing methods. Prerequisite: consent of instructor, 116, 200, one applied statistics course, Computer Science 106A, Mathematics 114.Aut (Hastie)",STATS 305,3,0
STATS,306B,Methods for Applied Statistics,"Unsupervised learning techniques in statistics, machine learning, and data mining. (Tibshirani)",STATS 306B,0,0
STATS,116,Theory of Probability,"Probability spaces as models for phenomena with statistical regularity. Discrete spaces (binomial, hypergeometric, Poisson). Continuous spaces (normal, exponential) and densities. Random variables, expectation, independence, conditional probability. Introduction to the laws of large numbers and central limit theorem. Prerequisites: MATH 52 and  familiarity with infinite series, or equivalent. Aut (Diaconis) Spr (Nacu), Sum (Staff)",STATS 116,4,0
CME,200,Linear Algebra with Application to Engineering Computations,"(Formerly ME 300A.) Direct and iterative methods to solve linear systems of equations arising in engineering applications. The theory of linear algebra: basis, linear independence, column space, null space, rank;  round off errors, pivoting, and ill-conditioned matrices; norms and condition numbers; projections and least squares; eigenvalues, eigenvectors, and their computation; the canonical diagonal form; and functions of a matrix; solution of systems of nonlinear equations arising in engineering applications. Recommended :familiarity with computer programming;  MATH 103, 130, or equivalents. (Gerritsen)",CME 200,3,0
CME,108,Introduction to Scientific Computing,"Numerical computation for mathematical, computational, and physical sciences and engineering: numerical solution of systems of algebraic equations, least squares, quadrature, minimization of a function, banded matrices, nonlinear equations, numerical solution of ordinary and partial differential equations; truncation error, numerical stability for time dependent problems, stiffness, boundary value problems. Prerequisites: CS106A or familiarity with MATLAB; MATH 51, 52, 53; inappropriate for students who have taken CME 102, 104 (formerly ENGR155A,B). (Golub)",CME 108,3,0
CME,211,Computer Programming in C++ for Earth Scientists and Engineers,"Computer programming methodology emphasizing modern software engineering principles: object-oriented design, decomposition, encapsulation, abstraction, and modularity. Fundamental data structures. Time and space complexity analysis. The basic facilities of the programming language C++. Numerical problems from various science and engineering applications.",CME 211,3,3
ECON,270,Intermediate Econometrics I,"Probability, random variables, and distributions; large sample theory; theory of estimation and hypothesis testing. Limited enrollment. Prerequisites: math and probability at the level of Chapter 2, Paul G. Hoel, <i>Introduction to Mathematical Statistics</i>, 5th ed.",ECON 270,2,5
CME,307,Optimization,"Applications, theories, and algorithms for finite-dimensional linear and nonlinear optimization problems with continuous variables. Elements of convex analysis, first- and second-order optimality conditions, sensitivity and duality. Algorithms for unconstrained optimization, and linearly and nonlinearly constrained problems. Modern applications in communication, game theory, auction, and economics.",CME 307,3,
STATS,300A,Theory of Statistics,"Elementary decision theory; loss and risk functions, Bayes estimation; UMVU estimator, minimax estimators, shrinkage estimators. Hypothesis testing and confidence intervals: Neyman-Pearson theory; UMP tests and uniformly most accurate confidence intervals; use of unbiasedness and invariance to eliminate nuisance parameters. Large sample theory: basic convergence concepts; robustness; efficiency; contiguity, locally asymptotically normal experiments; convolution theorem; asymptotically UMP and maximin tests. Asymptotic theory of likelihood ratio and score tests. Rank permutation and randomization tests; jackknife, bootstrap, subsampling and other resampling methods. Further topics: sequential analysis, optimal experimental design, empirical processes with applications to statistics, Edgeworth expansions, density estimation, time series.",STATS 300A,2,4
MATH,115,Functions of a Real Variable,"The development of real analysis in Euclidean space: sequences and series, limits, continuous functions, derivatives, integrals. Basic point set topology. Honors math majors and students who intend to do graduate work in mathematics should take 171. Prerequisite: 51.",MATH 115,3,3
MATH,113,Linear Algebra and Matrix Theory,"Algebraic properties of matrices and their interpretation in geometric terms. The relationship between the algebraic and geometric points of view and matters fundamental to the study and solution of linear equations. Topics: linear equations, vector spaces, linear dependence, bases and coordinate systems; linear transformations and matrices; similarity; eigenvectors and eigenvalues; diagonalization.",MATH 113,3,3
STATS,263,Design of Experiments,,STATS 263,3,3
CS,131,Computer Vision: Foundations and Applications,"Computer Vision technologies are transforming automotive, healthcare, manufacturing, agriculture and many other sections. Today, household robots can navigate spaces and perform duties, search engines can index billions of images and videos, algorithms can diagnose medical images for diseases, and smart cars can see and drive safely. Lying in the heart of these modern AI applications are computer vision technologies that can perceive, understand, and reconstruct the complex visual world. This course is designed for students who are interested in learning about the fundamental principles and important applications of Computer Vision. This course will introduce a number of fundamental concepts in image processing and expose students to a number of real-world applications. It will guide students through a series of projects to implement cutting-edge algorithms. There will be optional discussion sections on Fridays. Prerequisites: Students should be familiar with Python, Calculus & Linear Algebra",CS 131,3,4